Name,CC0h_1,CC0h_2,CC0h_3,CC4h_1,CC4h_2,CC4h_3,CC12h_1,CC12h_2,CC12h_3,MGC0h_1,MGC0h_2,MGC0h_3,MGC4h_1,MGC4h_2,MGC4h_3,MGC12h_1,MGC12h_2,MGC12h_3
Gm23138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12737,12,0,0,3,0,0,0,0,0,7,6,2,4,4,0,1,6,5
Gm25827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prpf38a,1412,2124,1966,2243,1741,2031,1424,1084,1569,1538,1145,1261,1137,1467,1384,1041,1268,1282
Orc1,422,827,728,731,487,1241,102,123,119,347,294,377,206,205,240,180,168,162
Gm12743,56,40,43,44,54,15,38,54,48,128,122,149,82,46,72,53,50,86
Cc2d1b,1711,2835,2491,985,597,1185,1263,1436,1517,3143,2456,2571,849,698,1015,1434,1453,1581
Gm20731,0,18,20,7,4,4,14,9,11,42,21,30,8,19,11,14,11,22
Gm17354,127,162,121,83,44,69,82,88,89,172,143,196,74,49,50,134,137,148
Zfyve9,827,1330,1028,1215,799,1312,965,1015,935,1619,1213,1406,856,903,1011,1034,1052,1148
3110021N24Rik,11,17,16,3,8,0,11,5,6,36,21,15,10,4,10,3,4,13
Btf3l4,658,976,841,681,615,899,516,482,458,939,828,765,533,636,599,577,683,747
Txndc12,1830,1992,1889,2285,1833,1458,2162,2046,2269,2403,1625,1813,1320,1348,1409,1597,1782,1591
A730015C16Rik,20,8,18,22,30,24,8,4,12,20,25,17,26,35,34,4,2,20
Kti12,395,544,467,952,845,671,603,447,603,480,341,378,535,688,613,659,724,686
Rab3b,94,354,384,390,155,928,11,4,11,34,52,103,9,30,30,62,42,32
8030443G20Rik,6,6,4,2,0,2,4,1,5,1,1,2,1,6,1,0,2,2
Gm23589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nrd1,10334,12477,10505,7264,6244,5021,9664,10082,10471,20795,14698,14805,7047,8006,7721,7890,8417,9006
Mir761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osbpl9,2656,4264,3634,3001,2200,4782,4755,4912,5303,5116,3866,4444,2090,2359,2502,3663,4187,4275
Gm23743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calr4,174,889,693,796,379,2466,2,2,4,64,69,200,28,44,46,70,28,62
Eps15,1866,2205,1990,2262,1568,2273,2949,3099,3410,4431,3273,3647,2301,2249,2653,3297,3507,3644
Ttc39aos1,4,16,14,11,1,16,2,0,0,4,3,10,3,4,6,12,1,10
Ttc39a,32,93,81,57,32,126,24,22,33,12,25,41,42,34,24,50,31,61
Rnf11,1625,1684,1323,2588,2091,1363,4346,3731,4418,2554,1784,1922,1945,2527,2469,3183,3875,3660
4930522H14Rik,2,16,11,5,16,59,0,1,3,3,4,5,5,4,0,2,4,2
Gm22497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12811,5,36,12,19,6,9,4,3,10,23,20,17,6,1,2,11,7,16
9630013D21Rik,14,18,34,7,2,0,2,4,4,64,40,50,5,6,3,12,8,6
Cdkn2c,1988,1914,1442,1193,768,844,700,502,677,2347,1540,1532,799,888,889,834,946,909
