Name,CC4h_1,CC4h_2,CC4h_3,GC4h_1,GC4h_2,GC4h_3
Mir1224,0,0,0,0,0,0
Alg3,978,811,721,556,515,567
Eef1akmt4,197,119,154,72,58,80
Gm49333,759,892,468,173,324,232
Camk2n2,2384,2162,1232,668,971,649
Ece2,318,178,197,138,176,164
Psmd2,19997,16340,13229,12637,15585,14319
Eif4g1,34441,27343,21467,23948,26794,25779
Snord66,0,0,0,0,1,1
Fam131a,483,206,929,54,52,62
Clcn2,1179,598,584,1125,771,1101
Polr2h,1587,1120,896,602,663,710
Thpo,12,16,15,20,6,15
Chrd,129,62,60,99,91,138
Gm22741,0,0,0,0,0,0
CT010490.3,2,0,0,1,0,4
AC158985.3,42,24,116,0,2,3
Teddm3,0,0,0,0,0,0
Ephb3,125,80,77,98,74,105
AC123977.1,0,0,0,0,0,0
Gm16863,16,11,20,13,16,13
Mir7680,0,0,0,0,0,0
Vps8,889,647,1370,522,585,591
2510009E07Rik,647,380,284,1620,1788,1782
Ehhadh,21,11,17,55,23,24
Gm24898,0,0,0,0,0,0
1300002E11Rik,171,135,246,93,103,120
Map3k13,78,60,96,57,55,78
AC114990.2,0,0,0,0,0,0
Gm26744,0,2,0,0,0,0
2610020F03Rik,0,0,0,0,0,0
Tmem41a,92,69,46,130,109,201
Liph,50,70,46,28,102,51
Senp2,5584,5612,3477,4547,6400,5094
Igf2bp2,3265,1540,9221,749,805,749
Gm25810,0,0,0,0,0,0
Tra2b,9224,7970,5808,6702,8016,6936
Etv5,1141,676,506,981,1051,1074
Dgkg,61,20,140,8,8,13
9230117E06Rik,0,0,2,0,0,0
Mir8095,0,1,0,0,0,0
CT009627.2,0,4,1,1,0,0
Gm15651,2,0,2,0,0,4
Gm22481,0,0,0,0,0,0
Mir6362,0,0,0,0,0,0
Crygs,1,0,0,0,0,0
Tbccd1,999,676,1045,453,337,476
Dnajb11,11188,8893,7100,5585,6358,5786
CT027991.1,95,101,26,70,124,112
Ahsg,242,312,204,352,437,391
Fetub,8444,6700,5720,4332,5109,4977
Hrg,0,2,1,2,0,0
Kng2,20,7,8,8,6,14
Gm23715,0,0,0,0,0,0
Kng1,6,3,4,3,7,1
Eif4a2,16905,12714,11658,16013,16487,16557
Snord2,0,0,0,0,0,0
Gm24201,0,0,0,0,0,0
Gm49346,0,0,0,0,0,0
Snora81,0,0,0,0,0,0
Gm26447,0,0,0,0,0,0
Gm24616,1,0,1,2,3,2
Rfc4,790,676,549,468,432,519
Adipoq,0,5,0,4,0,5
B630019A10Rik,26,40,46,27,50,55
BC106179,44,40,24,69,90,83
St6gal1,13927,9143,7321,16477,19807,17625
Gm23430,0,0,0,0,0,0
Gm23066,0,0,0,0,0,0
Rtp1,2,0,1,0,0,0
